name, latitude, longitude, altitude
CKP001, 37.51684017 , 126.61647000 , 28.962, 
CKP002, 37.51704014 , 126.61409511 , 29.108, 
CKP003, 37.51643225 , 126.61441253 , 29.362, 
CKP004, 37.51624147 , 126.61744003 , 35.446, 
CKP005, 37.51668267 , 126.61392047 , 37.38 , 
CKP006, 37.51678706 , 126.61518550 , 36.468,
CKP007, 37.51689667 , 126.61740683 , 39.516, 
CKP008, 37.51723358 , 126.61461233 , 24.112, 
CKP009, 37.51709717 , 126.61628419 , 23.788, 
CKP010, 37.51847450 , 126.61510158 , 24.107, 
GCP001, 37.51565225 , 126.61328094 , 29.045, 
GCP002, 37.51697889 , 126.61293631 , 29.357, 
GCP003, 37.51832875 , 126.61269172 , 28.7  , 
GCP004, 37.51697211 , 126.61514742 , 28.74 , 
GCP005, 37.51673283 , 126.61763022 , 29.388, 
GCP006, 37.51587853 , 126.61528725 , 32.803
GCP007, 37.51630847 , 126.61587392 , 28.989, 
GCP008, 37.51612586 , 126.61858944 , 29.652, 
GCP009, 37.51759636 , 126.61687381 , 44.882, 
GCP011, 37.51550281 , 126.61720406 , 41.459, 
